1	0
2	0
3	0
4	0
6	1
7	1
9	2
10	2
11	3
12	3
14	4
15	4
17	6
19	7
21	9
23	10
26	11
28	12
30	14
32	15
34	17
35	17
37	19
38	19
39	21
41	21
42	23
44	23
45	26
47	26
48	28
50	28
51	30
52	30
54	32
55	32
58	34
59	35
60	35
62	35
64	37
65	38
66	38
67	38
70	39
71	41
72	41
74	41
76	42
77	44
78	44
79	44
82	45
83	45
84	45
85	47
87	48
89	48
90	48
91	50
94	51
95	51
96	51
97	52
99	54
101	54
102	54
103	55
105	58
107	58
109	59
110	59
112	60
113	60
114	62
115	62
117	64
118	64
121	65
122	65
124	66
125	66
126	67
127	67
129	70
131	70
133	71
134	71
136	72
137	72
138	74
139	74
141	76
142	76
145	77
146	77
148	78
149	78
150	79
151	79
154	82
155	82
157	83
159	84
160	84
163	85
164	85
166	87
167	87
168	89
171	90
172	90
174	91
176	91
178	94
179	94
180	95
181	95
184	96
187	97
188	97
190	99
191	99
192	101
193	101
195	102
198	103
200	103
201	105
203	105
204	105
205	107
209	110
211	112
213	113
216	114
218	115
219	117
221	117
222	117
223	118
225	121
229	124
231	125
234	126
236	127
238	129
239	129
240	129
241	131
243	133
245	134
249	137
252	138
254	139
256	141
257	141
258	141
259	142
261	145
263	146
265	148
270	150
272	151
273	154
275	155
278	157
280	159
282	160
284	163
285	164
286	164
287	164
289	166
291	167
294	168
296	171
298	172
300	174
301	176
302	176
303	176
305	178
307	179
310	180
312	181
314	184
316	187
317	188
318	188
320	188
321	190
323	191
326	192
328	193
330	195
332	198
333	200
334	200
336	200
338	201
339	201
340	203
341	203
343	204
344	204
346	205
348	205
350	209
351	209
352	211
354	211
355	213
357	213
358	216
359	216
361	218
362	218
365	219
366	219
367	221
368	221
370	222
371	222
373	223
375	223
377	225
378	225
379	229
381	229
382	231
384	231
385	234
387	234
388	236
390	236
392	238
393	238
394	239
395	239
397	240
398	240
401	241
402	241
404	243
405	243
407	245
409	249
411	249
412	252
413	252
415	254
416	254
419	256
420	256
421	257
422	257
424	258
425	258
428	259
429	259
431	261
434	263
435	263
436	265
438	265
439	270
441	270
442	272
444	272
445	273
447	273
448	275
451	278
453	278
454	280
455	280
457	282
458	282
460	284
461	284
